group	x	y	showSelected1
1	-20	24	5
11	30	24	5
11	30	24	158
11	30	24	23
11	30	24	37
11	30	24	94
11	30	24	55
11	30	24	87
11	30	24	21
12	30	74	23
12	30	74	43
12	30	74	90
4	80	74	43
4	80	74	23
4	80	74	73
4	80	74	107
4	80	74	2
4	80	74	24
4	80	74	166
4	80	74	9
4	80	74	190
4	80	74	196
4	80	74	71
4	80	74	5
4	80	74	120
4	80	74	28
4	80	74	176
4	80	74	148
4	80	74	164
4	80	74	80
4	80	74	135
4	80	74	188
4	80	74	184
4	80	74	144
4	80	74	61
4	80	74	179
4	80	74	85
4	80	74	60
4	80	74	139
4	80	74	36
4	80	74	19
3	80	124	2
6	130	124	2
6	130	124	42
6	130	124	191
6	130	124	46
6	130	124	77
6	130	124	95
6	130	124	8
2	80	24	5
2	80	24	23
2	80	24	37
2	80	24	94
2	80	24	159
2	80	24	189
2	80	24	60
2	80	24	139
2	80	24	2
2	80	24	36
2	80	24	197
2	80	24	154
2	80	24	130
2	80	24	120
2	80	24	129
2	80	24	175
2	80	24	186
2	80	24	11
2	80	24	128
2	80	24	87
2	80	24	81
2	80	24	10
2	80	24	7
2	80	24	35
2	80	24	1
2	80	24	57
2	80	24	155
2	80	24	86
2	80	24	21
2	80	24	75
2	80	24	136
2	80	24	22
2	80	24	98
2	80	24	6
2	80	24	115
2	80	24	55
2	80	24	4
2	80	24	200
2	80	24	19
2	80	24	156
2	80	24	149
2	80	24	82
2	80	24	106
2	80	24	181
2	80	24	16
2	80	24	146
2	80	24	163
2	80	24	116
2	80	24	187
2	80	24	194
2	80	24	193
2	80	24	180
2	80	24	65
2	80	24	74
2	80	24	201
2	80	24	72
2	80	24	195
2	80	24	161
2	80	24	27
2	80	24	67
2	80	24	112
2	80	24	3
2	80	24	111
2	80	24	147
2	80	24	137
2	80	24	141
2	80	24	150
2	80	24	134
2	80	24	119
2	80	24	76
2	80	24	54
2	80	24	31
2	80	24	127
7	130	74	2
7	130	74	80
7	130	74	46
7	130	74	71
7	130	74	95
7	130	74	162
7	130	74	165
7	130	74	179
7	130	74	99
7	130	74	169
7	130	74	19
7	130	74	8
7	130	74	36
7	130	74	59
7	130	74	93
7	130	74	39
7	130	74	157
7	130	74	18
5	130	24	19
5	130	24	36
5	130	24	11
5	130	24	93
5	130	24	18
5	130	24	157
5	130	24	152
5	130	24	31
5	130	24	53
5	130	24	192
5	130	24	114
5	130	24	124
5	130	24	56
5	130	24	52
5	130	24	8
5	130	24	105
5	130	24	15
5	130	24	104
5	130	24	133
5	130	24	153
5	130	24	103
5	130	24	32
5	130	24	177
5	130	24	64
5	130	24	151
5	130	24	66
5	130	24	123
5	130	24	138
5	130	24	49
5	130	24	110
5	130	24	122
5	130	24	41
5	130	24	125
5	130	24	118
5	130	24	78
5	130	24	13
5	130	24	121
9	180	74	8
9	180	74	39
9	180	74	157
9	180	74	18
9	180	74	12
9	180	74	145
9	180	74	131
9	180	74	101
9	180	74	160
9	180	74	199
9	180	74	142
9	180	74	202
9	180	74	63
9	180	74	48
9	180	74	51
9	180	74	171
8	180	24	8
8	180	24	18
8	180	24	41
8	180	24	126
8	180	24	113
8	180	24	170
8	180	24	109
8	180	24	108
8	180	24	132
8	180	24	33
8	180	24	140
8	180	24	25
8	180	24	26
8	180	24	198
8	180	24	102
8	180	24	12
8	180	24	93
8	180	24	121
8	180	24	13
8	180	24	68
8	180	24	69
8	180	24	92
8	180	24	20
8	180	24	40
8	180	24	91
8	180	24	29
8	180	24	78
8	180	24	70
8	180	24	58
8	180	24	34
8	180	24	17
8	180	24	83
8	180	24	173
8	180	24	14
8	180	24	45
8	180	24	62
8	180	24	172
8	180	24	100
8	180	24	167
8	180	24	44
8	180	24	84
8	180	24	168
8	180	24	38
8	180	24	174
8	180	24	79
8	180	24	117
8	180	24	30
8	180	24	143
8	180	24	50
8	180	24	97
8	180	24	185
8	180	24	88
8	180	24	178
8	180	24	182
8	180	24	89
8	180	24	47
8	180	24	183
8	180	24	96
10	230	24	12
