group	fill	clickSelects
1	#FFFFFF	12
52	#FFFFFF	12
102	#FFFFFF	12
103	#FFFFFF	12
409	#FFFFFF	12
459	#FFFFFF	12
460	#FFFFFF	12
509	#FFFFFF	12
510	#FFFFFF	12
559	#FFFFFF	8
560	#FFFFFF	8
562	#FFFFFF	48
610	#FFFFFF	8
612	#FFFFFF	48
613	#FFFFFF	8
656	#FFFFFF	12
660	#FFFFFF	12
662	#FFFFFF	48
663	#FFFFFF	8
664	#FFFFFF	8
707	#FFFFFF	12
712	#FFFFFF	8
713	#FFFFFF	8
714	#FFFFFF	8
715	#FFFFFF	8
756	#FFFFFF	12
757	#FFFFFF	12
763	#FFFFFF	8
764	#FFFFFF	8
765	#FFFFFF	8
766	#FFFFFF	8
807	#FFFFFF	12
808	#FFFFFF	12
813	#FFFFFF	8
814	#FFFFFF	8
815	#FFFFFF	8
816	#FFFFFF	8
817	#FFFFFF	8
856	#FFFFFF	12
857	#FFFFFF	12
858	#FFFFFF	51
862	#FFFFFF	8
863	#FFFFFF	8
864	#FFFFFF	8
865	#FFFFFF	8
866	#FFFFFF	8
867	#FFFFFF	8
868	#FFFFFF	8
907	#FFFFFF	12
908	#FFFFFF	12
913	#FFFFFF	8
914	#FFFFFF	8
915	#FFFFFF	8
916	#FFFFFF	8
917	#FFFFFF	8
918	#FFFFFF	8
919	#FFFFFF	8
956	#FFFFFF	12
957	#FFFFFF	12
959	#FFFFFF	63
963	#FFFFFF	8
964	#FFFFFF	8
965	#FFFFFF	8
966	#FFFFFF	8
967	#FFFFFF	8
968	#FFFFFF	8
969	#FFFFFF	8
970	#FFFFFF	8
1007	#FFFFFF	12
1008	#FFFFFF	12
1014	#FFFFFF	8
1015	#FFFFFF	8
1016	#FFFFFF	8
1017	#FFFFFF	8
1018	#FFFFFF	8
1019	#FFFFFF	8
1020	#FFFFFF	8
1021	#FFFFFF	8
1056	#FFFFFF	12
1057	#FFFFFF	12
1058	#FFFFFF	51
1059	#FFFFFF	202
1060	#FFFFFF	8
1064	#FFFFFF	8
1065	#FFFFFF	8
1066	#FFFFFF	8
1067	#FFFFFF	8
1068	#FFFFFF	8
1069	#FFFFFF	8
1070	#FFFFFF	8
1071	#FFFFFF	8
1072	#FFFFFF	8
1107	#FFFFFF	12
1108	#FFFFFF	8
1110	#FFFFFF	142
1111	#FFFFFF	8
1115	#FFFFFF	8
1116	#FFFFFF	8
1117	#FFFFFF	8
1118	#FFFFFF	8
1119	#FFFFFF	8
1120	#FFFFFF	8
1121	#FFFFFF	8
1122	#FFFFFF	8
1123	#FFFFFF	8
1147	#FFFFFF	12
1157	#FFFFFF	8
1159	#FFFFFF	142
1160	#FFFFFF	8
1161	#FFFFFF	8
1163	#FFFFFF	12
1164	#FFFFFF	12
1213	#FFFFFF	12
1214	#FFFFFF	12
1215	#FFFFFF	12
1266	#FFFFFF	8
1267	#FFFFFF	8
1268	#FFFFFF	8
1269	#FFFFFF	8
1270	#FFFFFF	8
1271	#FFFFFF	8
1272	#FFFFFF	8
1273	#FFFFFF	8
1274	#FFFFFF	8
1275	#FFFFFF	8
1298	#FFFFFF	12
1309	#FFFFFF	12
1311	#FFFFFF	199
1312	#FFFFFF	8
1313	#FFFFFF	8
1317	#FFFFFF	8
1318	#FFFFFF	8
1319	#FFFFFF	8
1320	#FFFFFF	8
1321	#FFFFFF	8
1322	#FFFFFF	8
1323	#FFFFFF	8
1324	#FFFFFF	8
1325	#FFFFFF	8
1326	#FFFFFF	8
1338	#FFFFFF	12
1349	#FFFFFF	12
1359	#FFFFFF	160
1361	#FFFFFF	8
1362	#FFFFFF	8
1363	#FFFFFF	8
1367	#FFFFFF	8
1368	#FFFFFF	8
1369	#FFFFFF	8
1370	#FFFFFF	8
1371	#FFFFFF	8
1372	#FFFFFF	8
1373	#FFFFFF	8
1374	#FFFFFF	8
1375	#FFFFFF	8
1376	#FFFFFF	8
1378	#FFFFFF	8
1388	#FFFFFF	12
1399	#FFFFFF	12
1410	#FFFFFF	160
1411	#FFFFFF	160
1412	#FFFFFF	8
1413	#FFFFFF	8
1414	#FFFFFF	8
1418	#FFFFFF	8
1419	#FFFFFF	8
1420	#FFFFFF	8
1421	#FFFFFF	8
1422	#FFFFFF	8
1423	#FFFFFF	8
1424	#FFFFFF	8
1425	#FFFFFF	8
1426	#FFFFFF	8
1427	#FFFFFF	8
1428	#FFFFFF	12
1429	#FFFFFF	8
1439	#FFFFFF	12
1460	#FFFFFF	101
1461	#FFFFFF	8
1462	#FFFFFF	8
1463	#FFFFFF	8
1464	#FFFFFF	8
1468	#FFFFFF	8
1469	#FFFFFF	8
1470	#FFFFFF	8
1471	#FFFFFF	8
1472	#FFFFFF	8
1473	#FFFFFF	8
1474	#FFFFFF	8
1475	#FFFFFF	8
1476	#FFFFFF	8
1477	#FFFFFF	8
1478	#FFFFFF	12
1479	#FFFFFF	8
1480	#FFFFFF	8
1489	#FFFFFF	12
1511	#FFFFFF	101
1512	#FFFFFF	8
1513	#FFFFFF	8
1514	#FFFFFF	8
1515	#FFFFFF	8
1518	#FFFFFF	8
