group	x	y	clickSelects	showSelected1
215	0.75	-0.25	5	0,0
215	0.75	0.25	5	0,0
215	4.75	4.25	5	0,0
215	5.25	4.25	5	0,0
215	5.25	-0.25	5	0,0
215	0.75	-0.25	5	0,0
215	-44.75	4.25	5	50,0
215	-44.75	4.75	5	50,0
215	-9.25	40.25	5	50,0
215	-8.25	40.25	5	50,0
215	-8.25	41.25	5	50,0
215	-1.25	48.25	5	50,0
215	-0.75	48.25	5	50,0
215	-0.25	47.75	5	50,0
215	-0.25	45.75	5	50,0
215	0.75	44.75	5	50,0
215	1.25	44.75	5	50,0
215	1.25	45.25	5	50,0
215	0.75	45.75	5	50,0
215	0.75	46.25	5	50,0
215	2.25	47.75	5	50,0
215	3.25	47.75	5	50,0
215	3.75	48.25	5	50,0
215	4.25	48.25	5	50,0
215	4.75	47.75	5	50,0
215	4.75	47.25	5	50,0
215	3.75	47.25	5	50,0
215	3.25	46.75	5	50,0
215	3.25	45.75	5	50,0
215	2.25	44.75	5	50,0
215	2.25	44.25	5	50,0
215	3.25	43.25	5	50,0
215	3.25	42.25	5	50,0
215	4.75	40.75	5	50,0
215	4.75	38.25	5	50,0
215	3.25	36.75	5	50,0
215	1.75	36.75	5	50,0
215	1.25	37.25	5	50,0
215	1.25	38.25	5	50,0
215	0.75	38.25	5	50,0
215	0.25	37.75	5	50,0
215	0.25	36.75	5	50,0
215	-0.25	36.25	5	50,0
215	-0.25	35.25	5	50,0
215	-0.75	34.75	5	50,0
215	-2.25	34.75	5	50,0
215	-2.25	35.75	5	50,0
215	-2.75	35.75	5	50,0
215	-3.25	35.25	5	50,0
215	-4.75	35.25	5	50,0
215	-4.75	36.25	5	50,0
215	-5.25	36.25	5	50,0
215	-5.75	35.75	5	50,0
215	-6.75	35.75	5	50,0
215	-6.75	34.75	5	50,0
215	-7.75	33.75	5	50,0
215	-8.75	33.75	5	50,0
215	-8.75	33.25	5	50,0
215	-8.25	32.75	5	50,0
215	-7.75	32.75	5	50,0
215	-7.25	33.25	5	50,0
215	-6.25	33.25	5	50,0
215	-6.25	34.25	5	50,0
215	-4.75	34.25	5	50,0
215	-4.25	33.75	5	50,0
215	-3.25	33.75	5	50,0
215	-3.25	32.25	5	50,0
215	-3.75	32.25	5	50,0
215	-4.75	33.25	5	50,0
215	-5.25	33.25	5	50,0
215	-7.25	31.25	5	50,0
215	-7.25	30.75	5	50,0
215	-6.75	30.25	5	50,0
215	-6.75	29.25	5	50,0
215	-6.25	29.25	5	50,0
215	-5.75	29.75	5	50,0
215	-5.75	30.25	5	50,0
215	-6.25	30.75	5	50,0
215	-6.25	31.25	5	50,0
215	-5.75	31.75	5	50,0
215	-5.25	31.75	5	50,0
215	-5.25	30.75	5	50,0
215	-4.25	29.75	5	50,0
215	-4.25	29.25	5	50,0
215	-4.75	28.75	5	50,0
215	-5.75	28.75	5	50,0
215	-6.25	28.25	5	50,0
215	-6.25	26.25	5	50,0
215	-6.75	25.75	5	50,0
215	-7.75	25.75	5	50,0
215	-7.75	25.25	5	50,0
215	-7.25	24.75	5	50,0
215	-7.25	24.25	5	50,0
215	-8.25	24.25	5	50,0
215	-8.25	23.75	5	50,0
215	-7.75	23.25	5	50,0
215	-6.75	23.25	5	50,0
215	-6.75	20.75	5	50,0
215	-7.25	20.25	5	50,0
215	-7.25	19.75	5	50,0
215	-6.75	19.25	5	50,0
215	-4.75	19.25	5	50,0
215	-4.75	18.75	5	50,0
215	-5.25	18.25	5	50,0
215	-5.25	17.75	5	50,0
215	-3.25	17.75	5	50,0
215	-3.25	16.75	5	50,0
215	-2.25	16.75	5	50,0
215	-1.75	16.25	5	50,0
215	-1.25	16.25	5	50,0
215	-1.25	16.75	5	50,0
215	-1.75	17.25	5	50,0
215	-1.75	17.75	5	50,0
215	-1.25	18.25	5	50,0
215	0.75	18.25	5	50,0
215	0.75	19.25	5	50,0
215	1.25	19.25	5	50,0
215	1.75	18.75	5	50,0
215	1.75	18.25	5	50,0
215	1.25	17.75	5	50,0
215	1.25	16.75	5	50,0
215	0.75	16.25	5	50,0
215	0.75	15.75	5	50,0
215	1.25	15.25	5	50,0
215	1.25	14.25	5	50,0
215	2.25	13.25	5	50,0
215	2.25	11.75	5	50,0
215	1.75	11.75	5	50,0
215	0.25	13.25	5	50,0
215	-1.25	13.25	5	50,0
215	-1.75	12.75	5	50,0
215	-1.75	12.25	5	50,0
215	-0.75	12.25	5	50,0
215	-0.75	11.25	5	50,0
215	-0.25	11.25	5	50,0
215	0.25	11.75	5	50,0
215	0.75	11.75	5	50,0
215	0.75	11.25	5	50,0
215	-1.25	9.25	5	50,0
215	-1.25	8.75	5	50,0
215	-0.75	8.75	5	50,0
215	0.25	9.75	5	50,0
215	0.75	9.75	5	50,0
215	0.75	8.75	5	50,0
215	1.25	8.75	5	50,0
215	1.75	9.25	5	50,0
215	2.25	9.25	5	50,0
215	2.25	8.75	5	50,0
215	1.75	8.25	5	50,0
215	1.75	7.25	5	50,0
215	1.25	7.25	5	50,0
215	0.75	7.75	5	50,0
215	0.25	7.75	5	50,0
215	-1.25	6.25	5	50,0
215	-1.25	4.75	5	50,0
215	-0.75	4.25	5	50,0
215	-0.75	3.75	5	50,0
215	-1.75	3.75	5	50,0
215	-3.25	2.25	5	50,0
215	-3.25	1.75	5	50,0
215	0.75	1.75	5	50,0
215	1.25	1.25	5	50,0
215	1.25	0.75	5	50,0
215	0.25	-0.25	5	50,0
215	-44.25	-0.25	5	50,0
215	-44.75	0.25	5	50,0
215	-44.75	4.25	5	50,0
215	-45.25	48.75	5	100,0
215	-45.25	49.25	5	100,0
215	-44.75	49.25	5	100,0
215	-44.75	48.75	5	100,0
215	-45.25	48.75	5	100,0
215	-44.75	-0.75	5	100,50
215	-44.75	-0.25	5	100,50
215	-44.25	-0.25	5	100,50
215	-44.25	-0.75	5	100,50
215	-44.75	-0.75	5	100,50
216	-3.25	28.75	5	50,0
216	-3.25	29.25	5	50,0
216	-2.25	29.25	5	50,0
216	-1.75	29.75	5	50,0
216	-1.75	30.75	5	50,0
216	-0.25	30.75	5	50,0
216	-0.25	29.75	5	50,0
216	0.75	29.75	5	50,0
216	0.75	28.75	5	50,0
216	1.25	28.75	5	50,0
216	2.25	29.75	5	50,0
216	2.25	31.75	5	50,0
216	2.75	32.25	5	50,0
216	3.25	32.25	5	50,0
216	3.25	31.25	5	50,0
216	3.75	30.75	5	50,0
216	4.75	30.75	5	50,0
216	4.75	13.25	5	50,0
216	4.25	13.25	5	50,0
216	3.75	13.75	5	50,0
216	3.75	15.25	5	50,0
216	4.25	15.75	5	50,0
216	4.25	20.25	5	50,0
216	3.75	20.25	5	50,0
216	2.75	19.25	5	50,0
216	2.25	19.25	5	50,0
216	2.25	20.25	5	50,0
216	0.75	21.75	5	50,0
216	0.75	22.25	5	50,0
216	1.25	22.75	5	50,0
216	2.25	22.75	5	50,0
216	2.75	23.25	5	50,0
216	2.75	23.75	5	50,0
216	1.25	23.75	5	50,0
216	0.25	22.75	5	50,0
216	-1.25	22.75	5	50,0
216	-2.25	23.75	5	50,0
216	-3.25	23.75	5	50,0
216	-3.75	24.25	5	50,0
216	-3.75	24.75	5	50,0
