fill	x	y	xmin	xmax	ymin	ymax
#929292	2.25	0	2.125	2.375	-0.125	0.125
#CFCFCF	3.5	2.25	3.375	3.625	2.125	2.375
#7D7D7D	2	0	1.875	2.125	-0.125	0.125
#FFFFFF	3.5	2	3.375	3.625	1.875	2.125
#454545	1	0	0.875	1.125	-0.125	0.125
#7D7D7D	1.75	0	1.625	1.875	-0.125	0.125
#CFCFCF	3.25	1	3.125	3.375	0.875	1.125
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#CFCFCF	2.25	1	2.125	2.375	0.875	1.125
#353535	0.5	0	0.375	0.625	-0.125	0.125
#535353	0.75	0	0.625	0.875	-0.125	0.125
#FFFFFF	3	2	2.875	3.125	1.875	2.125
#FFFFFF	3.25	2	3.125	3.375	1.875	2.125
#7D7D7D	1.5	0	1.375	1.625	-0.125	0.125
#A0A0A0	0.75	1	0.625	0.875	0.875	1.125
#676767	1.25	0	1.125	1.375	-0.125	0.125
#FFFFFF	2.5	2	2.375	2.625	1.875	2.125
#424242	0.25	0	0.125	0.375	-0.125	0.125
#CFCFCF	0.5	1	0.375	0.625	0.875	1.125
#FFFFFF	2.75	2	2.625	2.875	1.875	2.125
#FFFFFF	2	1	1.875	2.125	0.875	1.125
#CFCFCF	2.75	1	2.625	2.875	0.875	1.125
#CFCFCF	1.5	1	1.375	1.625	0.875	1.125
#FFFFFF	1	1	0.875	1.125	0.875	1.125
#FFFFFF	2.5	0	2.375	2.625	-0.125	0.125
#FFFFFF	0.25	1	0.125	0.375	0.875	1.125
#000000	0	0	-0.125	0.125	-0.125	0.125
#FFFFFF	1.25	1	1.125	1.375	0.875	1.125
#B3B3B3	1.75	1	1.625	1.875	0.875	1.125
#FFFFFF	3	1.5	2.875	3.125	1.375	1.625
#FFFFFF	2.75	1.5	2.625	2.875	1.375	1.625
