group	label	showSelected1
1	Cluster 1: 220/220 pixels shown, logFC 1.1 to 1.5, log10(p) 27.1 to 49.9	1
1	Cluster 2: 73/3241 pixels shown, logFC -1.2 to 1.6, log10(p) 0.0 to 3.2	2
1	Cluster 3: 144/144 pixels shown, logFC 1.2 to 1.4, log10(p) 20.6 to 32.2	3
1	Cluster 4: 133/133 pixels shown, logFC 1.1 to 1.4, log10(p) 23.8 to 40.0	4
1	Cluster 5: 1290/3782 pixels shown, logFC -1.1 to 1.2, log10(p) 0.0 to 3.6	5
1	Cluster 6: 8/8 pixels shown, logFC 0.9 to 1.3, log10(p) 12.1 to 28.6	6
1	Cluster 7: 66/66 pixels shown, logFC 1.1 to 1.4, log10(p) 23.5 to 42.8	7
1	Cluster 10: 53/53 pixels shown, logFC 1.2 to 1.5, log10(p) 27.0 to 44.6	10
1	Cluster 11: 904/1602 pixels shown, logFC -1.4 to 1.3, log10(p) 0.0 to 3.4	11
1	Cluster 16: 145/145 pixels shown, logFC 1.1 to 1.4, log10(p) 26.1 to 44.6	16
1	Cluster 19: 62/1977 pixels shown, logFC -1.1 to 1.5, log10(p) 0.0 to 4.6	19
1	Cluster 21: 3/5 pixels shown, logFC 1.3 to 1.5, log10(p) 29.2 to 42.3	21
1	Cluster 22: 14/14 pixels shown, logFC 1.1 to 1.5, log10(p) 13.7 to 29.8	22
1	Cluster 23: 56/340 pixels shown, logFC -1.3 to 1.3, log10(p) 0.0 to 2.3	23
1	Cluster 27: 103/103 pixels shown, logFC 1.1 to 1.4, log10(p) 25.3 to 39.0	27
1	Cluster 31: 2/4 pixels shown, logFC 1.2 to 2.5, log10(p) 0.6 to 1.7	31
1	Cluster 35: 32/32 pixels shown, logFC 1.1 to 1.5, log10(p) 28.5 to 42.8	35
1	Cluster 36: 423/601 pixels shown, logFC -1.2 to 1.2, log10(p) 0.0 to 3.0	36
1	Cluster 37: 95/115 pixels shown, logFC -0.9 to 0.4, log10(p) 0.0 to 2.0	37
1	Cluster 54: 2/2 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	54
1	Cluster 55: 1/9 pixels shown, logFC 1.2 to 1.3, log10(p) 14.2 to 19.7	55
1	Cluster 57: 20/20 pixels shown, logFC 1.1 to 1.3, log10(p) 28.7 to 37.7	57
1	Cluster 60: 1/2 pixels shown, logFC -1.8 to -1.4, log10(p) 0.5 to 1.2	60
1	Cluster 65: 87/87 pixels shown, logFC 1.1 to 1.3, log10(p) 20.2 to 28.8	65
1	Cluster 67: 10/10 pixels shown, logFC 1.3 to 1.3, log10(p) 14.8 to 20.1	67
1	Cluster 72: 8/8 pixels shown, logFC -3.0 to -2.2, log10(p) 0.4 to 0.7	72
1	Cluster 74: 1/1 pixels shown, logFC 1.6 to 1.6, log10(p) 53.8 to 53.8	74
1	Cluster 75: 9/9 pixels shown, logFC 1.2 to 1.5, log10(p) 24.0 to 32.8	75
1	Cluster 76: 8/8 pixels shown, logFC 1.2 to 1.4, log10(p) 32.6 to 38.5	76
1	Cluster 81: 37/37 pixels shown, logFC 1.1 to 1.4, log10(p) 27.0 to 34.2	81
1	Cluster 82: 3/3 pixels shown, logFC -3.0 to -1.4, log10(p) 0.4 to 1.3	82
1	Cluster 86: 2/2 pixels shown, logFC -3.0 to -2.2, log10(p) 0.4 to 0.7	86
1	Cluster 87: 48/58 pixels shown, logFC 1.1 to 1.3, log10(p) 20.0 to 28.3	87
1	Cluster 94: 45/459 pixels shown, logFC -1.2 to 0.7, log10(p) 0.0 to 2.6	94
1	Cluster 98: 1/1 pixels shown, logFC 1.0 to 1.0, log10(p) 22.7 to 22.7	98
1	Cluster 106: 1/1 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	106
1	Cluster 111: 1/1 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	111
1	Cluster 112: 1/1 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	112
1	Cluster 115: 1/1 pixels shown, logFC 2.4 to 2.4, log10(p) 1.1 to 1.1	115
1	Cluster 116: 3/3 pixels shown, logFC 1.2 to 1.3, log10(p) 14.3 to 17.4	116
1	Cluster 119: 46/46 pixels shown, logFC 1.2 to 1.3, log10(p) 14.2 to 22.1	119
1	Cluster 120: 2/5 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	120
1	Cluster 127: 1/1 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	127
1	Cluster 128: 1/1 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	128
1	Cluster 129: 1/1 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	129
1	Cluster 130: 1/1 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	130
1	Cluster 134: 1/1 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	134
1	Cluster 136: 1/1 pixels shown, logFC 1.1 to 1.1, log10(p) 21.3 to 21.3	136
1	Cluster 137: 7/7 pixels shown, logFC 1.2 to 1.3, log10(p) 14.4 to 18.3	137
1	Cluster 139: 4/6 pixels shown, logFC -1.0 to -0.5, log10(p) 0.3 to 1.1	139
1	Cluster 141: 2/2 pixels shown, logFC 2.5 to 3.3, log10(p) 0.6 to 0.9	141
1	Cluster 146: 2/2 pixels shown, logFC -2.2 to -2.2, log10(p) 0.4 to 0.4	146
1	Cluster 147: 2/2 pixels shown, logFC -3.5 to -2.2, log10(p) 0.4 to 1.0	147
1	Cluster 149: 1/1 pixels shown, logFC 1.5 to 1.5, log10(p) 53.5 to 53.5	149
1	Cluster 150: 1/1 pixels shown, logFC -3.0 to -3.0, log10(p) 0.7 to 0.7	150
1	Cluster 154: 1/1 pixels shown, logFC -3.0 to -3.0, log10(p) 0.7 to 0.7	154
1	Cluster 155: 5/5 pixels shown, logFC 1.3 to 1.4, log10(p) 38.4 to 44.4	155
1	Cluster 156: 9/9 pixels shown, logFC 1.2 to 1.3, log10(p) 14.4 to 18.8	156
1	Cluster 159: 3/3 pixels shown, logFC 1.7 to 2.5, log10(p) 0.6 to 0.6	159
1	Cluster 161: 12/12 pixels shown, logFC 1.3 to 1.5, log10(p) 35.9 to 44.6	161
1	Cluster 163: 1/1 pixels shown, logFC 1.0 to 1.0, log10(p) 24.4 to 24.4	163
1	Cluster 175: 3/3 pixels shown, logFC 0.7 to 1.3, log10(p) 0.3 to 0.7	175
1	Cluster 180: 15/15 pixels shown, logFC 1.3 to 1.3, log10(p) 14.3 to 19.7	180
1	Cluster 181: 7/7 pixels shown, logFC 1.2 to 1.4, log10(p) 35.4 to 42.0	181
1	Cluster 186: 4/4 pixels shown, logFC -3.0 to -2.2, log10(p) 0.4 to 0.7	186
1	Cluster 187: 3/3 pixels shown, logFC 1.3 to 1.4, log10(p) 37.2 to 41.6	187
1	Cluster 189: 5/5 pixels shown, logFC 0.4 to 2.1, log10(p) 0.3 to 0.9	189
1	Cluster 193: 1/1 pixels shown, logFC 1.5 to 1.5, log10(p) 50.9 to 50.9	193
1	Cluster 194: 1/1 pixels shown, logFC 1.5 to 1.5, log10(p) 50.8 to 50.8	194
1	Cluster 195: 1/1 pixels shown, logFC 1.7 to 1.7, log10(p) 0.6 to 0.6	195
1	Cluster 197: 1/1 pixels shown, logFC -1.7 to -1.7, log10(p) 1.0 to 1.0	197
1	Cluster 200: 1/1 pixels shown, logFC -1.7 to -1.7, log10(p) 0.7 to 0.7	200
1	Cluster 201: 1/1 pixels shown, logFC 2.5 to 2.5, log10(p) 0.6 to 0.6	201
